ticker,fecha,retorno,precio_ajustado_yahoo,volumen_yahoo,precio_cierre_bvl,acciones_negociadas,monto_negociado_soles,negociado,amihud
ALICORC1,2018-01-02,,6.374445915222168,27592,10.75,27592.0,293735.7,1,
ALICORC1,2018-01-03,-0.0046511934083482975,6.344797134399414,312206,10.7,312206.0,3316947.14,1,0.0014022512907300346
ALICORC1,2018-01-04,0.014018784302184173,6.433743476867676,5757,10.85,5757.0,61738.2,1,0.22706823817643165
ALICORC1,2018-01-05,0.027649653460305235,6.611634254455566,516131,11.15,516131.0,5663802.17,1,0.004881818366954938
ALICORC1,2018-01-08,0.00448433468665832,6.64128303527832,366278,11.2,366278.0,4066319.3,1,0.0011027994497771782
ALICORC1,2018-01-09,0.004464387002092174,6.670932292938232,938523,11.25,938523.0,10558383.75,1,0.00042282863625715193
ALICORC1,2018-01-10,-0.0044445448339055504,6.64128303527832,84177,11.2,84177.0,946542.96,1,0.004695555322608443
ALICORC1,2018-01-11,-0.004464315203140723,6.611634254455566,66677,11.15,66677.0,745514.9,1,0.005988230688804105
ALICORC1,2018-01-12,0.013452931939053281,6.70058012008667,41740,11.3,41740.0,469500.5,1,0.028653711634073407
ALICORC1,2018-01-16,0.039823058915958276,6.9674177169799805,70421,11.75,70421.0,810753.0,1,0.04911860815310986
ALICORC1,2018-01-17,-0.011914944523353621,6.884401321411133,1286371,11.61,1286371.0,15106164.06,1,0.0007887471945908166
ALICORC1,2018-01-18,0.0,6.884401321411133,152697,11.61,152697.0,1772825.17,1,0.0
ALICORC1,2018-01-19,-0.01808800277275313,6.759876251220703,64256,11.4,64256.0,742725.5,1,0.024353550231886654
ALICORC1,2018-01-22,0.004386135691717197,6.789525985717773,3316403,11.45,3316403.0,37810894.2,1,0.00011600190327467042
ALICORC1,2018-01-23,0.0026200484483520636,6.807314872741699,117935,11.48,117935.0,1351598.2,1,0.0019384817531956345
ALICORC1,2018-01-24,0.011324060971251493,6.884401321411133,56206,11.61,56206.0,649492.33,1,0.017435249729972166
ALICORC1,2018-01-25,0.0,6.884401321411133,205898,11.61,205898.0,2390475.78,1,0.0
ALICORC1,2018-01-26,0.00258407955429818,6.902191162109375,140185,11.64,140185.0,1631574.7,1,0.0015837948175453933
ALICORC1,2018-01-29,-0.0017182104469627424,6.890331745147705,54170,11.62,54170.0,629550.4,1,0.0027292659125667178
ALICORC1,2018-01-30,-0.010327075856294998,6.819174766540527,76158,11.5,76158.0,878049.46,1,0.01176138284544358
ALICORC1,2018-01-31,-0.02956524390235371,6.6175642013549805,117335,11.16,117335.0,1329007.0,1,0.022246116011694225
ALICORC1,2018-02-01,0.00896063261968294,6.676861763000488,283587,11.26,283587.0,3193127.72,1,0.0028062243058924493
ALICORC1,2018-02-02,-0.0053286602276725326,6.64128303527832,259572,11.2,259572.0,2897767.59,1,0.001838884611057622
ALICORC1,2018-02-05,0.0,6.64128303527832,5000,11.2,5000.0,56000.0,1,0.0
ALICORC1,2018-02-06,-0.004464315203140723,6.611634254455566,233615,11.15,233615.0,2573443.2,1,0.001734763449661808
ALICORC1,2018-02-07,0.0,6.611634254455566,11673,11.15,11673.0,130153.95,1,0.0
ALICORC1,2018-02-08,0.0,6.611634254455566,133167,11.15,133167.0,1484812.05,1,0.0
ALICORC1,2018-02-09,-0.0017935030877129776,6.599776268005371,229463,11.13,229463.0,2553923.19,1,0.000702254122103405
ALICORC1,2018-02-12,-0.011680305394208168,6.522688865661621,434742,11.0,434742.0,4792327.09,1,0.002437293025883208
ALICORC1,2018-02-13,-0.000909053027727813,6.516759395599365,22616,10.99,22616.0,248623.7,1,0.0036563409993810446
ALICORC1,2018-02-14,0.0009098801570393,6.522688865661621,442466,11.0,442466.0,4845065.0,1,0.00018779524258999623
ALICORC1,2018-02-15,0.0,6.522688865661621,221229,11.0,221229.0,2435668.35,1,0.0
ALICORC1,2018-02-16,0.0,6.522688865661621,178084,11.0,178084.0,1948084.1,1,0.0
ALICORC1,2018-02-20,0.0,6.522688865661621,518944,11.0,518944.0,5657274.5,1,0.0
ALICORC1,2018-02-21,0.013636307146611681,6.611634254455566,77239,11.15,77239.0,859388.6,1,0.015867451751875324
ALICORC1,2018-02-22,0.013452931939053281,6.70058012008667,206751,11.3,206751.0,2325726.35,1,0.0057844001892369155
ALICORC1,2018-02-26,-0.0088495449268029,6.64128303527832,1630715,11.2,1630715.0,18263882.4,1,0.0004845379932364709
ALICORC1,2018-02-27,-0.004464315203140723,6.611634254455566,24905,11.15,24905.0,277771.15,1,0.016071918207275028
ALICORC1,2018-02-28,-0.013452859818131269,6.522688865661621,276057,11.0,276057.0,3036679.8,1,0.004430121285138877
ALICORC1,2018-03-01,0.009090968903587848,6.581986427307129,241832,11.1,241832.0,2661452.0,1,0.0034157929219042265
ALICORC1,2018-03-02,-0.004504533874416405,6.552337646484375,47468,11.05,47468.0,522183.0,1,0.008626351057802352
ALICORC1,2018-03-05,-0.004524916514133226,6.522688865661621,192686,11.0,192686.0,2120096.05,1,0.002134297884349733
