[2026-09-24 12:24:21] INICIO descarga BVL | periodo 2018-01-01 a 2025-12-31 | 1 emisoras | modo prueba: True
[2026-09-24 12:24:23] ALICORC1 2025: 248 filas | respuesta HTTP 200
[2026-09-24 12:24:24] FIN | archivo: datos_crudos_2024200535B_bvl.csv | 248 filas | 1 emisoras
[2026-09-24 12:24:44] INICIO descarga BVL | periodo 2018-01-01 a 2025-12-31 | 1 emisoras | modo prueba: True
[2026-09-24 12:24:47] ALICORC1 2025: 248 filas | respuesta HTTP 200
[2026-09-24 12:24:48] FIN | archivo: datos_crudos_2024200535B_bvl.csv | 248 filas | 1 emisoras
[2026-09-24 12:27:25] INICIO descarga BVL | periodo 2018-01-01 a 2025-12-31 | 24 emisoras | modo prueba: False
[2026-09-24 12:27:27] ALICORC1 2018: 249 filas | respuesta HTTP 200
[2026-09-24 12:27:30] ALICORC1 2019: 251 filas | respuesta HTTP 200
[2026-09-24 12:27:33] ALICORC1 2020: 253 filas | respuesta HTTP 200
[2026-09-24 12:27:36] ALICORC1 2021: 250 filas | respuesta HTTP 200
[2026-09-24 12:27:39] ALICORC1 2022: 251 filas | respuesta HTTP 200
[2026-09-24 12:27:42] ALICORC1 2023: 251 filas | respuesta HTTP 200
[2026-09-24 12:27:45] ALICORC1 2024: 248 filas | respuesta HTTP 200
[2026-09-24 12:27:47] ALICORC1 2025: 248 filas | respuesta HTTP 200
[2026-09-24 12:27:50] BACKUSI1 2018: 249 filas | respuesta HTTP 200
[2026-09-24 12:27:53] BACKUSI1 2019: 251 filas | respuesta HTTP 200
[2026-09-24 12:27:56] BACKUSI1 2020: 253 filas | respuesta HTTP 200
[2026-09-24 12:27:59] BACKUSI1 2021: 250 filas | respuesta HTTP 200
[2026-09-24 12:28:02] BACKUSI1 2022: 251 filas | respuesta HTTP 200
[2026-09-24 12:28:04] BACKUSI1 2023: 251 filas | respuesta HTTP 200
[2026-09-24 12:28:07] BACKUSI1 2024: 248 filas | respuesta HTTP 200
[2026-09-24 12:28:10] BACKUSI1 2025: 248 filas | respuesta HTTP 200
[2026-09-24 12:28:13] BAP 2018: 249 filas | respuesta HTTP 200
[2026-09-24 12:28:16] BAP 2019: 251 filas | respuesta HTTP 200
[2026-09-24 12:28:19] BAP 2020: 253 filas | respuesta HTTP 200
