Emisora,dias,pct_dias_negociados,monto_diario_prom_mill,amihud_prom,retorno_mensual_prom_pct
BAP,1942,99.79402677651905,4.940577347879175,0.02387908277625489,1.092631207275845
FERREYC1,1942,100.0,1.6855883489134913,0.029400593226312742,1.4973902596246254
ALICORC1,1942,99.94850669412976,3.186033039897013,0.04013452742415337,0.735808078248206
INRETC1,1942,98.043254376931,3.8258737859043435,0.042322400585510525,0.5440476613869607
VOLCABC1,1942,100.0,1.4033942973444902,0.06366583585859796,0.5262222942886527
BVN,1942,98.91864057672502,1.3284315696792457,0.07472212468243825,1.5348606337414321
BBVAC1,1942,98.66117404737385,0.7480604302317199,0.08824415306092437,0.2503858781105895
CPACASC1,1942,98.09474768280123,0.8272372451235841,0.09008739748396535,0.30600198911356485
CVERDEC1,1942,96.2409886714727,1.8292709915323868,0.09956442956148402,0.8355215970894401
IFS,1943,96.96345856922285,1.3525095907629723,0.11269630487845692,0.9458407333530026
UNACEMC1,1943,94.33865156973752,0.9477782928718476,0.13058435194822415,0.13660735409810226
MINSURI1,1942,92.3274974253347,1.27159273484552,0.1636647733502898,1.7960758216490058
BACKUSI1,1942,92.79093717816684,0.2325962453861998,0.18186679727921082,0.8933126519545656
CREDITC1,1943,97.22079258878024,1.2444531759958826,0.1882644468927988,1.1450508030888893
ENGIEC1,1943,72.00205867215645,0.3252010300617602,0.19504701626087345,-0.30039931201072767
SCCO,1942,90.7826982492276,0.46401916947554067,0.2024613593547615,1.5490119454679354
LUSURC1,1942,88.36251287332647,0.5274026100102986,0.2084059346858084,0.896045681419929
CORAREI1,1944,97.37654320987654,0.15335414948559672,0.24610920610025794,1.360255626643818
SCOTIAC1,1945,39.588688946015424,0.24064198536246786,0.33949423223083236,0.0893837020855083
SIDERC1,1942,95.00514933058703,0.09223955948094748,0.3646353566351474,3.29999031845395
INTERBC1,1945,42.82776349614396,0.006391253187660668,0.36555310564844673,-0.22924375851062323
NEXAPEC1,1944,65.12345679012346,0.1525249680967078,0.37238465499728257,0.07968879139940722
ATACOBC1,1943,72.00205867215645,0.03042067786206897,0.6045326474257934,-0.2778711162334434
AUSTRAC1,1944,29.938271604938272,0.007786544202674897,0.699813112052341,1.6687480554326926
