Variable,Coef. Fama-MacBeth,t (FM),Coef. panel MCO,"t (panel, cluster)"
Constante,1.3742004287759049,1.3201523586844752,0.5385278024263371,0.5219208189782474
Iliquidez de Amihud (t-1),-0.9629990966627047,-0.9008943651371597,-0.49610983468829384,-0.5872337401054353
Frec. de negociacion % (t-1),-0.0023198247752172297,-0.1892797323508641,0.004693454894101064,0.47904348201585006
