ticker,mes,retorno_mes,amihud_mes,frec_negociacion,monto_mes_millones,dias,amihud_lag,frec_lag
ALICORC1,2018-01,0.03813951665230242,0.02031433160594579,1.0,91.22559442000001,21,,
ALICORC1,2018-02,-0.01433689690142026,0.0031112213990739834,1.0,57.57971873999999,18,0.02031433160594579,1.0
ALICORC1,2018-03,0.022727349154584964,0.009027879513818615,1.0,50.81073143,20,0.0031112213990739834,1.0
ALICORC1,2018-04,0.08836137403976685,0.02099619305891501,1.0,72.39048117,20,0.009027879513818615,1.0
ALICORC1,2018-05,-0.02928866170926736,0.009184431238741495,1.0,54.87760655,21,0.02099619305891501,1.0
ALICORC1,2018-06,-0.04741384034752427,0.005169715664011915,1.0,78.32600385,20,0.009184431238741495,1.0
ALICORC1,2018-07,0.062443316981065866,0.025913218143294784,1.0,37.51671869,21,0.005169715664011915,1.0
ALICORC1,2018-08,-0.05877331616946668,0.024629870599328234,1.0,69.08239732999999,21,0.025913218143294784,1.0
ALICORC1,2018-09,-0.04524882571286937,0.01241569438275631,1.0,62.82479074000001,19,0.024629870599328234,1.0
ALICORC1,2018-10,-0.07582948683623414,0.024798213647578362,1.0,63.82714119999999,22,0.01241569438275631,1.0
ALICORC1,2018-11,0.05641039965167827,0.010723415852264552,1.0,124.15684,20,0.024798213647578362,1.0
ALICORC1,2018-12,-0.03398068498410367,0.016477283375414715,1.0,94.25858391000001,18,0.010723415852264552,1.0
ALICORC1,2019-01,0.06130649865465898,0.016983762093686055,1.0,37.23777804,21,0.016477283375414715,1.0
ALICORC1,2019-02,0.06534108328192212,0.010658510245399733,1.0,69.28349652,19,0.016983762093686055,1.0
ALICORC1,2019-03,-0.03555560206428887,0.01093224252813219,1.0,62.20296362,21,0.010658510245399733,1.0
ALICORC1,2019-04,0.012141070932948361,0.00477999699808501,1.0,44.605194069999996,20,0.01093224252813219,1.0
ALICORC1,2019-05,-0.005607326487335196,0.006594549918843743,1.0,43.72087755,21,0.00477999699808501,1.0
ALICORC1,2019-06,-0.029135655818175676,0.005473425777917,1.0,28.843921889999997,20,0.006594549918843743,1.0
ALICORC1,2019-07,0.02613765675620683,0.008232957635674956,1.0,50.66599997,21,0.005473425777917,1.0
ALICORC1,2019-08,-0.10377359443378842,0.04522789792137551,1.0,41.50866875,21,0.008232957635674956,1.0
ALICORC1,2019-09,-0.021052523970137238,0.014549388287342757,0.95,73.90606775,20,0.04522789792137551,1.0
ALICORC1,2019-10,-0.01075291981903348,0.01787413989691715,1.0,33.245396830000004,22,0.014549388287342757,0.95
ALICORC1,2019-11,-0.04347821027501464,0.0016214812506625896,1.0,31.936966740000003,19,0.01787413989691715,1.0
ALICORC1,2019-12,0.04545449015595926,0.006014536384211285,1.0,64.49474448000001,20,0.0016214812506625896,1.0
ALICORC1,2020-01,-0.01086938632951584,0.002672603554184933,1.0,78.04692290999999,21,0.006014536384211285,1.0
ALICORC1,2020-02,-0.06593414534987341,0.017376087319451526,1.0,30.057148360000003,19,0.002672603554184933,1.0
ALICORC1,2020-03,-0.13529412717273848,0.012756858965593287,1.0,126.74486085999999,22,0.017376087319451526,1.0
ALICORC1,2020-04,-0.06666668747484061,0.005634820694946325,1.0,56.09837641000001,20,0.012756858965593287,1.0
ALICORC1,2020-05,0.13702618251839094,0.009947748183725942,1.0,58.94222913,19,0.005634820694946325,1.0
ALICORC1,2020-06,0.029487242835148697,0.005239884797617814,1.0,141.70091174999996,21,0.009947748183725942,1.0
ALICORC1,2020-07,-0.02864265005746125,0.05348702239330435,1.0,38.3547215,21,0.005239884797617814,1.0
ALICORC1,2020-08,0.060855452785039565,0.012573301308828748,1.0,39.13904171000001,21,0.05348702239330435,1.0
ALICORC1,2020-09,-0.04648259897926177,0.01509734091566515,1.0,23.43783218,21,0.012573301308828748,1.0
ALICORC1,2020-10,-0.07773383978383774,0.021690215213524343,1.0,67.14755397,22,0.01509734091566515,1.0
ALICORC1,2020-11,0.014285640723686654,0.008961093159620055,1.0,40.81857409,20,0.021690215213524343,1.0
ALICORC1,2020-12,0.009859281010904164,0.0292558948283394,1.0,54.64131023,20,0.008961093159620055,1.0
ALICORC1,2021-01,0.1468531554867658,0.008552583868238569,1.0,107.65745531,19,0.0292558948283394,1.0
ALICORC1,2021-02,-0.012194968788171168,0.006516022690739505,1.0,56.833406159999996,19,0.008552583868238569,1.0
ALICORC1,2021-03,-0.05555575737177587,0.01682708709603034,1.0,141.13886682000003,23,0.006516022690739505,1.0
ALICORC1,2021-04,-0.05747348377361006,0.024714220849919415,1.0,41.75048794999999,20,0.01682708709603034,1.0
ALICORC1,2021-05,-0.043478283048508426,0.03160424469145857,1.0,188.0897052,20,0.024714220849919415,1.0
ALICORC1,2021-06,-0.04545456969558059,0.04990340703465417,1.0,44.19598435000001,21,0.03160424469145857,1.0
ALICORC1,2021-07,-0.11904762968948868,0.008030573201929259,1.0,57.774731749999994,19,0.04990340703465417,1.0
ALICORC1,2021-08,0.009209949195672529,0.02349649319157638,1.0,61.59807003999999,21,0.008030573201929259,1.0
ALICORC1,2021-09,0.08559501343855436,0.0036370055622372906,1.0,24.15327129,21,0.02349649319157638,1.0
ALICORC1,2021-10,0.24038471668556283,0.03382358971346792,1.0,56.84716253,20,0.0036370055622372906,1.0
ALICORC1,2021-11,-0.0666666168874821,0.018401276730311743,1.0,37.66114169999999,20,0.03382358971346792,1.0
ALICORC1,2021-12,0.004983440533023575,0.05002271325476236,1.0,70.54512231999999,20,0.018401276730311743,1.0
ALICORC1,2022-01,0.13553700060828633,0.029340543327830003,1.0,41.29510375,20,0.05002271325476236,1.0
ALICORC1,2022-02,-0.10917022684825983,0.014112026377026457,1.0,28.635588750000004,19,0.029340543327830003,1.0
ALICORC1,2022-03,-0.09313724236476173,0.015689911461052954,1.0,50.95656188,23,0.014112026377026457,1.0
ALICORC1,2022-04,-0.025387652837739916,0.01953479299109045,1.0,112.59281471999999,19,0.015689911461052954,1.0
ALICORC1,2022-05,-0.013671513284421732,0.044596760208197174,1.0,46.63015089999999,21,0.01953479299109045,1.0
ALICORC1,2022-06,0.019801803676365637,0.016046133257912785,1.0,37.468426550000004,20,0.044596760208197174,1.0
ALICORC1,2022-07,0.029126290938930044,0.16825796839237311,1.0,70.83418565000001,18,0.016046133257912785,1.0
ALICORC1,2022-08,0.018867758180981742,0.03923820771463325,1.0,127.28941874999998,22,0.16825796839237311,1.0
ALICORC1,2022-09,0.05555549692992834,0.06799880896437828,1.0,44.72560144,21,0.03923820771463325,1.0
ALICORC1,2022-10,0.10526335257730146,0.07060723412580147,1.0,22.536544249999995,21,0.06799880896437828,1.0
ALICORC1,2022-11,0.06349195868381297,0.060081062209865796,1.0,472.18354559,20,0.07060723412580147,1.0
ALICORC1,2022-12,0.0074627919287373334,0.11745028164376975,1.0,25.746804409999996,19,0.060081062209865796,1.0
ALICORC1,2023-01,-0.08148161030150969,0.050377711271475153,1.0,5.53299491,20,0.11745028164376975,1.0
ALICORC1,2023-02,0.032258153461150574,0.09169970315764682,1.0,4.6781654900000005,19,0.050377711271475153,1.0
ALICORC1,2023-03,0.015624952698740424,0.09058299699535823,1.0,30.72905402,23,0.09169970315764682,1.0
ALICORC1,2023-04,0.03705387251287351,0.11626240409582933,1.0,3.48720438,18,0.09058299699535823,1.0
ALICORC1,2023-05,-0.03276130702352131,0.037757168320660416,1.0,35.30608728,21,0.11626240409582933,1.0
ALICORC1,2023-06,0.009677493220913158,0.03477978689440596,1.0,15.988705739999999,19,0.037757168320660416,1.0
ALICORC1,2023-07,0.13418519261661577,0.02652296504967382,1.0,13.115327290000002,19,0.03477978689440596,1.0
ALICORC1,2023-08,-0.10563377218137959,0.0813915291972724,1.0,39.78548033,22,0.02652296504967382,1.0
ALICORC1,2023-09,-0.023622056651019463,0.025182659332089713,1.0,9.08657097,20,0.0813915291972724,1.0
ALICORC1,2023-10,-0.0645160388141518,0.04971165494991258,1.0,9.189275109999999,22,0.025182659332089713,1.0
ALICORC1,2023-11,-0.003448364133799009,0.1861855006455758,1.0,17.501765990000003,20,0.04971165494991258,1.0
ALICORC1,2023-12,0.08996545890975294,0.06183451940634916,1.0,15.013154539999999,19,0.1861855006455758,1.0
