mes,C1_liquida,C2_intermedia,C3_iliquida,C3_menos_C1
2018-02,-0.025861946985346926,-0.0018287418149220691,-0.04089910571413766,-0.015037158728790731
2018-03,-0.001739205061898133,0.0011641634594046907,0.01158812126163146,0.013327326323529592
2018-04,0.05180138754728511,0.011823522387383394,0.06762048440552641,0.015819096858241302
2018-05,-0.03187792723069058,0.004237503630966755,0.0359551196126042,0.06783304684329478
2018-06,-0.057798883591130557,-0.026376681099650495,-0.09428724014723465,-0.03648835655610409
2018-07,0.02053256211141309,0.021794524340823393,0.04188391662246291,0.021351354511049817
2018-08,-0.020303217930512277,-0.04544009336228012,-0.08110277173591424,-0.06079955380540196
2018-09,-0.005798208681388639,-0.06054473048257768,-0.0726893353952303,-0.06689112671384166
2018-10,-0.05426916189025199,-0.05068922444248833,-0.09496607152544952,-0.04069690963519752
2018-11,0.034115685810806026,0.050749302395098464,0.027021516973458712,-0.007094168837347314
2018-12,0.0010618128661959991,0.019500653322060787,-0.018831349245680862,-0.01989316211187686
2019-01,0.0521742444905683,0.018177010197446386,0.06333964189993459,0.011165397409366284
2019-02,0.02493408196308386,0.017523978745336413,0.04609858318116375,0.02116450121807989
2019-03,-0.005250861337939436,0.038271601565118746,0.06959854639174685,0.07484940772968629
2019-04,-0.006218078478121267,0.0015403678821003658,-0.020366286030393407,-0.01414820755227214
2019-05,-0.041015974371453656,-0.09259736089237246,-0.05325210165861734,-0.012236127287163681
2019-06,0.05211113399252945,0.021058264375604235,0.07104044504235002,0.01892931104982057
2019-07,-0.021094986483061615,-0.03743097303107987,-0.017183333603727605,0.00391165287933401
2019-08,-0.04133400986251394,-0.06397591791424832,-0.04106917043282089,0.00026483942969304786
2019-09,0.0756616831007017,0.022565802396086534,0.022987999553953906,-0.0526736835467478
2019-10,0.021893130234613284,0.0016440766475875612,0.06770677553346474,0.04581364529885146
2019-11,0.011103695359188287,-0.04675135620842544,-0.025608456756972958,-0.036712152116161245
2019-12,0.044957813490931725,0.06281396621579723,0.10839809217784147,0.06344027868690974
2020-01,-0.01344476352481068,-0.043637655052526564,0.03023930544734242,0.0436840689721531
2020-02,-0.042295685152424906,-0.04579923922960345,-0.08227339618510565,-0.039977711032680746
2020-03,-0.22755020756773503,-0.19111354668161898,-0.1627126121984656,0.06483759536926942
2020-04,-0.002207100488119604,-0.02479852244366447,-0.004829151940300883,-0.0026220514521812788
2020-05,0.06493973362311588,0.04878379155193745,0.07091234757290264,0.005972613949786765
2020-06,0.050228966362806785,0.100535003520631,0.10238211341164956,0.052153147048842774
2020-07,0.023577097043246106,0.004954319671456288,0.011513049690871788,-0.012064047352374319
2020-08,0.015802761185195233,-0.005485993233102324,0.08626115035395023,0.07045838916875499
2020-09,-0.03640884111064929,-0.01859410130804985,0.0062123072452211076,0.0426211483558704
2020-10,-0.03760030340256623,-0.02448410929372659,0.017301648652154,0.05490195205472023
2020-11,0.10084958666772817,0.09489578982083256,0.11520006737744902,0.01435048070972085
2020-12,0.0746513684834189,-0.016353387353099963,0.026433609791246843,-0.048217758692172055
2021-01,0.05725385610362105,0.08343239902776348,0.04431875553061457,-0.01293510057300648
2021-02,0.09598479193796243,0.10292269116284178,0.06341439311196276,-0.03257039882599967
2021-03,-0.029137411687214218,-0.032055348451158955,-0.052892404925149045,-0.023754993237934827
2021-04,-0.10972432603625633,-0.049013813343307386,-0.12398016731843374,-0.014255841282177412
2021-05,0.01736874846181749,0.0359328819205075,-0.021551782197519104,-0.038920530659336594
2021-06,-0.1103955004937714,-0.08652441551958305,-0.04433828976114186,0.06605721073262955
2021-07,-0.0998757872763772,-0.07545465345825962,-0.06771457617869746,0.03216121109767975
2021-08,0.03923470503618773,0.009601520170197372,-0.0323528950348599,-0.07158760007104763
2021-09,0.1326984100354998,0.050562678931483696,0.07525416818004144,-0.05744424185545835
2021-10,0.15411181814522043,0.19862656991993663,0.13366661749639075,-0.02044520064882968
2021-11,0.024808324024651218,0.02753985797068978,0.053267438242718,0.02845911421806678
2021-12,0.08736079286148041,0.009807595298611402,-0.02257499852023777,-0.10993579138171818
2022-01,0.1244921318781457,0.09237526182108932,0.08591384307863684,-0.038578288799508864
2022-02,0.058497151793019966,0.025073182547891593,-0.015107674196133625,-0.07360482598915359
2022-03,0.05010809368743453,0.04612423509549507,0.08685907900092008,0.03675098531348554
2022-04,-0.06535681252820769,-0.11167809866565061,-0.047175171880868116,0.01818164064733957
2022-05,-0.13403689237537736,-0.09358935905508785,-0.07693032704431219,0.05710656533106517
2022-06,-0.12054443612874204,-0.061399276204416306,-0.053228606830651795,0.06731582929809024
2022-07,0.014079423563676599,0.06797185398210502,-0.009860099472277242,-0.02393952303595384
2022-08,-0.023684194786029525,0.05808927622319553,-0.0011059975107865772,0.022578197275242948
2022-09,0.021506225158403766,0.007684763087278071,-0.04430789158350805,-0.06581411674191182
2022-10,0.04670219438325052,0.06755094707780782,0.004242448679137589,-0.04245974570411293
2022-11,0.06906465502427385,0.043530509637866754,0.021255586291572814,-0.047809068732701035
2022-12,-0.01994024357934203,0.014760874619673583,-0.00792827099337029,0.012011972585971739
2023-01,0.020042325502166183,0.0395060345649714,0.0011945141500091933,-0.01884781135215699
2023-02,-0.03724147635307354,-0.047601465852010486,-0.0028373495086292527,0.034404126844444285
2023-03,0.008804608600275418,0.011932075693920477,-0.019428200098889098,-0.028232808699164516
2023-04,-0.013883658739288249,0.0038112496906783644,0.005593368803799764,0.019477027543088013
2023-05,-0.02028802065862724,-0.05250545658685958,-0.00588119571675938,0.01440682494186786
2023-06,0.029593418038875136,0.035345253795082285,-0.046957710427961,-0.07655112846683614
2023-07,0.04803313246244764,0.011896200818287156,0.05658770687230716,0.008554574409859517
2023-08,-0.058376008051210154,-0.014259961978626954,-0.015426104569593632,0.04294990348161652
2023-09,-0.03517936717314214,-0.02733127954056863,0.003912385097857782,0.039091752270999924
2023-10,-0.016276873470411596,-0.05434236160610112,-0.09091156733022783,-0.07463469385981623
2023-11,0.030021665713941104,0.0008559585428211114,0.05713312434056894,0.027111458626627838
2023-12,0.08876875341582426,0.08218774962290061,0.02613137164398642,-0.06263738177183784
2024-01,0.03407976306473809,0.03182201633316087,0.06497944770768169,0.030899684642943598
2024-02,0.06578355482047218,0.046424160543099696,0.00577680887847197,-0.060006745942000214
2024-03,-0.01797198946316661,0.001116404708401575,0.03842589107623176,0.05639788053939837
2024-04,0.022470469842752527,-0.045086066064405336,-0.0537878033550942,-0.07625827319784673
2024-05,-0.026159054883524574,0.0394487119134016,0.0844081631649917,0.11056721804851627
2024-06,-0.016736178451743758,-0.010543349768797172,-0.020941315747756012,-0.004205137296012254
2024-07,0.035351621045311324,-0.0027658132009589775,0.009062236809602636,-0.026289384235708688
2024-08,-0.06265587426904666,-0.006498628576671411,-0.026200995495141724,0.036454878773904936
2024-09,0.02480381628774886,0.027856084828806235,0.009956588744863493,-0.014847227542885366
2024-10,0.00174271187490109,0.039103870658016945,0.02471731435761987,0.02297460248271878
2024-11,0.004312680191694299,-0.011908344957748743,0.049893938487675066,0.04558125829598077
2024-12,0.0006227240140006668,-0.00392657001700536,-0.01551900710447432,-0.016141731118474986
2025-01,0.010404712948340472,-0.019652010822125865,0.008980402835074786,-0.0014243101132656866
2025-02,0.0011826537176128221,-0.005612526615852667,-0.009631526561389367,-0.010814180279002189
2025-03,0.074720143698023,0.043619800665870845,0.06283829138781961,-0.011881852310203389
2025-04,0.008850823289316148,-0.012499832965099697,-0.00418317000914821,-0.013033993298464358
2025-05,0.04246944404412403,0.013758719628880547,0.057181146208848996,0.014711702164724963
2025-06,0.025651186355946237,0.052606887965908095,-0.03849355311688679,-0.06414473947283303
2025-07,0.030438933866248213,0.012986363120320546,0.016233660524140964,-0.01420527334210725
2025-08,0.08048086914368911,0.010313802860315455,0.04298164866189774,-0.03749922048179137
2025-09,0.015117702914026324,0.0376147131893458,0.009716538071778233,-0.005401164842248091
2025-10,0.07122435522601997,0.08047446741327885,0.14650616396208763,0.07528180873606766
2025-11,0.021093291008985146,0.02421532668696566,-0.020650956636902876,-0.04174424764588802
2025-12,0.17957171727645882,0.08896954179333197,0.12405332520358228,-0.05551839207287654
